TIMESTAMP,Wind_100
20120101 1:00,4.551468262
20120101 2:00,3.247920466
20120101 3:00,2.418209268
20120101 4:00,2.195203332
20120101 5:00,2.161037802
20120101 6:00,2.419079702
20120101 7:00,2.987310275
20120101 8:00,4.132366704
20120101 9:00,6.063279137
20120101 10:00,7.40732571
20120101 11:00,7.692622263
20120101 12:00,8.118182741
20120101 13:00,8.91882789
20120101 14:00,9.4391738
20120101 15:00,9.520301032
20120101 16:00,9.364685827
20120101 17:00,9.136470009
20120101 18:00,8.779578837
20120101 19:00,8.544665054
20120101 20:00,8.695609231
20120101 21:00,8.377937891
20120101 22:00,7.816733827
20120101 23:00,7.961559438
20120102 0:00,8.330535615
20120102 1:00,8.046117787
20120102 2:00,6.780573328
20120102 3:00,5.789378837
20120102 4:00,5.09041217
20120102 5:00,4.642756912
20120102 6:00,3.643975483
20120102 7:00,3.648757486
20120102 8:00,11.18875808
20120102 9:00,10.88857871
20120102 10:00,10.66790157
20120102 11:00,9.797583689
20120102 12:00,8.783068044
20120102 13:00,8.011423756
20120102 14:00,6.777087497
20120102 15:00,6.635739913
20120102 16:00,6.675299358
20120102 17:00,6.231518664
20120102 18:00,6.112454717
20120102 19:00,5.670431421
20120102 20:00,5.506290444
20120102 21:00,5.918960587
20120102 22:00,5.050058192
20120102 23:00,5.135806577
20120103 0:00,5.027530157
20120103 1:00,4.657016623
20120103 2:00,4.600422424
20120103 3:00,5.205386115
20120103 4:00,3.827317177
20120103 5:00,3.902107646
20120103 6:00,3.88217015
20120103 7:00,2.976593327
20120103 8:00,1.71557358
20120103 9:00,0.845040351
20120103 10:00,1.506191473
20120103 11:00,2.785401831
20120103 12:00,6.221718156
20120103 13:00,7.740143759
20120103 14:00,8.655443499
20120103 15:00,9.211422789
20120103 16:00,9.184285808
20120103 17:00,9.28935356
20120103 18:00,8.72731156
20120103 19:00,8.043688123
20120103 20:00,7.349809795
20120103 21:00,6.701807897
20120103 22:00,6.15324098
20120103 23:00,5.893436251
20120104 0:00,5.716587503
20120104 1:00,4.772540108
20120104 2:00,4.653129077
20120104 3:00,4.649508886
20120104 4:00,4.812526354
20120104 5:00,4.993088029
20120104 6:00,5.19028101
20120104 7:00,5.365068957
20120104 8:00,5.285932161
20120104 9:00,5.506522732
20120104 10:00,5.841659971
20120104 11:00,7.081362094
20120104 12:00,7.548510808
20120104 13:00,6.928659477
20120104 14:00,6.562240269
20120104 15:00,6.517550517
20120104 16:00,6.492371413
20120104 17:00,6.394271557
20120104 18:00,6.130606195
20120104 19:00,5.839061895
20120104 20:00,5.869071274
20120104 21:00,5.370377686
20120104 22:00,4.777914394
20120104 23:00,3.813778985
20120105 0:00,2.433057718
20120105 1:00,1.575952078
20120105 2:00,0.3544654
20120105 3:00,2.09393958
20120105 4:00,3.789916285
20120105 5:00,5.031405812
20120105 6:00,5.732338984
20120105 7:00,5.94249118
20120105 8:00,6.602744116
20120105 9:00,8.105271135
20120105 10:00,7.744391453
20120105 11:00,6.982503316
20120105 12:00,8.361292293
20120105 13:00,8.137978149
20120105 14:00,8.274912856
20120105 15:00,8.45223643
20120105 16:00,8.757436839
20120105 17:00,8.868526139
20120105 18:00,8.981849518
20120105 19:00,9.114505203
20120105 20:00,9.196595042
20120105 21:00,9.097341314
20120105 22:00,8.256581405
20120105 23:00,8.049399712
20120106 0:00,7.80263636
20120106 1:00,6.836078282
20120106 2:00,5.642049108
20120106 3:00,4.611670992
20120106 4:00,4.181371361
20120106 5:00,3.992110062
20120106 6:00,3.797173701
20120106 7:00,3.256824455
20120106 8:00,2.586381468
20120106 9:00,2.122810846
20120106 10:00,1.894380311
20120106 11:00,4.812748885
20120106 12:00,6.875627021
20120106 13:00,7.754351068
20120106 14:00,8.323666585
20120106 15:00,8.955628238
20120106 16:00,9.614119212
20120106 17:00,10.38532456
20120106 18:00,10.74301821
20120106 19:00,10.61640087
20120106 20:00,9.700475445
20120106 21:00,8.042800882
20120106 22:00,7.96453637
20120106 23:00,8.301091271
20120107 0:00,7.888329684
20120107 1:00,9.803811303
20120107 2:00,9.894415638
20120107 3:00,9.183603078
20120107 4:00,9.228803366
20120107 5:00,11.15190164
20120107 6:00,10.67254274
20120107 7:00,11.47887037
20120107 8:00,9.355024744
20120107 9:00,8.234577794
20120107 10:00,7.553478704
20120107 11:00,7.305335731
20120107 12:00,6.905230457
20120107 13:00,6.014280993
20120107 14:00,6.5282328
20120107 15:00,8.858955274
20120107 16:00,8.183021764
20120107 17:00,7.720623105
20120107 18:00,8.57382944
20120107 19:00,9.435162708
20120107 20:00,9.65745493
20120107 21:00,9.933649378
20120107 22:00,9.669588917
20120107 23:00,9.819841326
20120108 0:00,10.51993575
20120108 1:00,11.23470249
20120108 2:00,12.22170483
20120108 3:00,13.56740167
20120108 4:00,14.2552851
20120108 5:00,12.92594396
20120108 6:00,12.75717453
20120108 7:00,12.73339549
20120108 8:00,12.30490727
20120108 9:00,11.95959858
20120108 10:00,11.05214483
20120108 11:00,10.78409244
20120108 12:00,10.04564757
20120108 13:00,9.663530753
